Circuit delay: 913.67 ps

Gate slacks:
INP-n1: 880.41 ps
INP-n2: 952.53 ps
INP-n3: 880.41 ps
INP-n4: 754.10 ps
INP-n5: 754.11 ps
INP-n6: 754.10 ps
INP-n7: 913.39 ps
INP-n8: 419.39 ps
INP-n11: 893.38 ps
INP-n14: 869.91 ps
INP-n15: 952.53 ps
INP-n16: 694.83 ps
INP-n19: 754.11 ps
INP-n20: 754.11 ps
INP-n21: 754.10 ps
INP-n22: 754.10 ps
INP-n23: 754.10 ps
INP-n24: 754.10 ps
INP-n25: 754.11 ps
INP-n26: 754.11 ps
INP-n27: 754.11 ps
INP-n28: 839.68 ps
INP-n29: 701.17 ps
INP-n32: 754.11 ps
INP-n33: 754.11 ps
INP-n34: 754.11 ps
INP-n35: 783.13 ps
INP-n36: 920.62 ps
INP-n37: 827.61 ps
INP-n40: 307.55 ps
INP-n43: 470.88 ps
INP-n44: 762.69 ps
INP-n47: 386.93 ps
INP-n48: 336.30 ps
INP-n49: 340.19 ps
INP-n50: 308.14 ps
INP-n51: 306.63 ps
INP-n52: 409.10 ps
INP-n53: 423.46 ps
INP-n54: 422.66 ps
INP-n55: 559.45 ps
INP-n56: 470.88 ps
INP-n57: 762.69 ps
INP-n60: 386.93 ps
INP-n61: 336.30 ps
INP-n62: 308.14 ps
INP-n63: 306.63 ps
INP-n64: 409.10 ps
INP-n65: 423.46 ps
INP-n66: 422.66 ps
INP-n67: 559.45 ps
INP-n68: 470.80 ps
INP-n69: 762.69 ps
INP-n72: 386.85 ps
INP-n73: 336.22 ps
INP-n74: 340.11 ps
INP-n75: 308.06 ps
INP-n76: 306.55 ps
INP-n77: 409.03 ps
INP-n78: 423.38 ps
INP-n79: 422.58 ps
INP-n80: 559.37 ps
INP-n81: 470.88 ps
INP-n82: 762.69 ps
INP-n85: 386.93 ps
INP-n86: 336.30 ps
INP-n87: 340.19 ps
INP-n88: 308.14 ps
INP-n89: 306.63 ps
INP-n90: 409.10 ps
INP-n91: 423.46 ps
INP-n92: 422.66 ps
INP-n93: 559.45 ps
INP-n94: 963.91 ps
INP-n95: 365.11 ps
INP-n96: 762.69 ps
INP-n99: 614.10 ps
INP-n100: 618.92 ps
INP-n101: 195.75 ps
INP-n102: 181.88 ps
INP-n103: 570.04 ps
INP-n104: 341.43 ps
INP-n105: 361.25 ps
INP-n106: 601.07 ps
INP-n107: 365.03 ps
INP-n108: 762.69 ps
INP-n111: 614.02 ps
INP-n112: 618.84 ps
INP-n113: 195.67 ps
INP-n114: 181.80 ps
INP-n115: 569.96 ps
INP-n116: 341.35 ps
INP-n117: 361.17 ps
INP-n118: 600.99 ps
INP-n119: 365.11 ps
INP-n120: 762.69 ps
INP-n123: 614.10 ps
INP-n124: 618.92 ps
INP-n125: 195.75 ps
INP-n126: 181.88 ps
INP-n127: 570.04 ps
INP-n128: 341.43 ps
INP-n129: 361.25 ps
INP-n130: 601.07 ps
INP-n131: 365.11 ps
INP-n132: 762.69 ps
INP-n135: 614.10 ps
INP-n136: 618.92 ps
INP-n137: 195.75 ps
INP-n138: 181.88 ps
INP-n139: 570.04 ps
INP-n140: 341.43 ps
INP-n141: 361.25 ps
INP-n142: 601.07 ps
AND-n143: 586.01 ps
AND-n144: 768.33 ps
OR-n145: 586.01 ps
AND-n146: 706.51 ps
AND-n147: 752.20 ps
OR-n148: 706.51 ps
NOT-n150: 570.15 ps
AND-n152: 756.76 ps
OR-n153: 756.76 ps
OR-n154: 674.91 ps
OR-n155: 668.66 ps
NAND-n156: 668.66 ps
AND-n157: 920.64 ps
NOT-n158: 920.64 ps
NOT-n160: 791.52 ps
NOT-n162: 803.68 ps
NOT-n164: 797.11 ps
NOT-n166: 803.68 ps
NOT-n168: 797.11 ps
INP-n169: 1005.04 ps
NOT-n171: 803.68 ps
AND-n173: 942.26 ps
INP-n174: 1005.04 ps
AND-n175: 762.69 ps
NOT-n176: 762.69 ps
INP-n177: 1005.04 ps
INP-n178: 1005.04 ps
INP-n179: 1005.04 ps
INP-n180: 1005.04 ps
INP-n181: 1005.04 ps
INP-n182: 1005.04 ps
INP-n183: 1005.04 ps
INP-n184: 1005.04 ps
INP-n185: 1005.04 ps
INP-n186: 1005.04 ps
AND-n187: 762.69 ps
NOT-n188: 762.69 ps
INP-n189: 1005.04 ps
INP-n190: 1005.04 ps
INP-n191: 1005.04 ps
INP-n192: 1005.04 ps
INP-n193: 1005.04 ps
INP-n194: 1005.04 ps
INP-n195: 1005.04 ps
INP-n196: 1005.04 ps
INP-n197: 1005.04 ps
INP-n198: 1005.04 ps
INP-n199: 1005.04 ps
INP-n200: 1005.04 ps
INP-n201: 1005.04 ps
INP-n202: 1005.04 ps
INP-n203: 1005.04 ps
INP-n204: 1005.04 ps
INP-n205: 1005.04 ps
INP-n206: 1005.04 ps
INP-n207: 1005.04 ps
INP-n208: 1005.04 ps
INP-n209: 1005.04 ps
INP-n210: 1005.04 ps
INP-n211: 1005.04 ps
INP-n212: 1005.04 ps
INP-n213: 1005.04 ps
INP-n214: 1005.04 ps
INP-n215: 1005.04 ps
AND-n216: 913.39 ps
NOT-n217: 913.39 ps
NOT-n218: 983.19 ps
NOT-n219: 983.19 ps
NOT-n220: 983.19 ps
NOT-n221: 983.19 ps
NOT-n223: 942.87 ps
NOT-n225: 100.53 ps
NOT-n227: 764.07 ps
NOT-n229: 764.07 ps
NOT-n231: 161.18 ps
NAND-n234: 941.18 ps
NOT-n235: 983.19 ps
NOT-n236: 983.19 ps
