Circuit delay: 839.32 ps

Gate slacks:
INP-n1: 838.44 ps
BUFF-n2: 891.46 ps
BUFF-n3: 891.46 ps
INP-n5: 856.99 ps
INP-n9: 175.41 ps
INP-n12: 175.41 ps
INP-n15: 873.74 ps
INP-n18: 83.93 ps
INP-n23: 221.17 ps
INP-n26: 205.41 ps
INP-n29: 213.91 ps
INP-n32: 284.18 ps
INP-n35: 310.39 ps
INP-n38: 383.16 ps
INP-n41: 197.73 ps
INP-n44: 549.00 ps
INP-n47: 331.25 ps
INP-n50: 319.73 ps
INP-n53: 475.97 ps
INP-n54: 471.98 ps
INP-n55: 468.14 ps
INP-n56: 464.30 ps
INP-n57: 888.62 ps
INP-n58: 549.00 ps
INP-n59: 446.72 ps
INP-n60: 460.11 ps
INP-n61: 456.27 ps
INP-n62: 452.43 ps
INP-n63: 465.29 ps
INP-n64: 457.10 ps
INP-n65: 472.71 ps
INP-n66: 361.37 ps
INP-n69: 549.27 ps
INP-n70: 485.96 ps
INP-n73: 438.98 ps
INP-n74: 450.58 ps
INP-n75: 442.87 ps
INP-n76: 446.72 ps
INP-n77: 471.04 ps
INP-n78: 450.58 ps
INP-n79: 464.10 ps
INP-n80: 438.98 ps
INP-n81: 442.87 ps
INP-n82: 549.00 ps
INP-n83: 468.70 ps
INP-n84: 464.84 ps
INP-n85: 460.99 ps
INP-n86: 461.29 ps
INP-n87: 524.17 ps
INP-n88: 509.08 ps
INP-n89: 705.08 ps
INP-n94: 205.40 ps
INP-n97: 213.91 ps
INP-n100: 361.14 ps
INP-n103: 331.35 ps
INP-n106: 221.23 ps
INP-n109: 457.43 ps
INP-n110: 453.59 ps
INP-n111: 524.17 ps
INP-n112: 509.08 ps
INP-n113: 524.17 ps
INP-n114: 549.00 ps
INP-n115: 548.99 ps
INP-n118: 225.33 ps
INP-n121: 221.17 ps
INP-n124: 319.73 ps
INP-n127: 284.18 ps
INP-n130: 310.39 ps
INP-n133: 837.66 ps
INP-n134: 837.66 ps
INP-n135: 221.17 ps
INP-n138: 213.91 ps
INP-n141: 549.00 ps
INP-n144: 205.41 ps
INP-n147: 225.34 ps
INP-n150: 776.38 ps
INP-n151: 225.33 ps
INP-n152: 776.38 ps
INP-n153: 333.59 ps
INP-n154: 291.95 ps
INP-n155: 256.40 ps
INP-n156: 282.59 ps
INP-n157: 326.07 ps
INP-n158: 221.17 ps
INP-n159: 205.40 ps
INP-n160: 213.91 ps
INP-n161: 548.99 ps
INP-n162: 776.38 ps
INP-n163: 882.13 ps
INP-n164: 610.44 ps
INP-n165: 610.44 ps
INP-n166: 481.56 ps
INP-n167: 481.55 ps
INP-n168: 496.64 ps
INP-n169: 496.64 ps
INP-n170: 510.35 ps
INP-n171: 472.70 ps
INP-n172: 776.38 ps
INP-n173: 426.06 ps
INP-n174: 429.90 ps
INP-n175: 433.76 ps
INP-n176: 437.76 ps
INP-n177: 429.57 ps
INP-n178: 460.98 ps
INP-n179: 464.84 ps
INP-n180: 468.70 ps
INP-n181: 549.00 ps
INP-n182: 776.38 ps
INP-n183: 776.38 ps
INP-n184: 776.38 ps
INP-n185: 776.38 ps
INP-n186: 776.38 ps
INP-n187: 471.05 ps
INP-n188: 776.38 ps
