Circuit delay: 986.45 ps

Gate slacks:
INP-n1: 1002.77 ps
INP-n4: 747.69 ps
INP-n11: 990.50 ps
INP-n14: 990.50 ps
INP-n17: 990.42 ps
INP-n20: 990.42 ps
INP-n23: 975.74 ps
INP-n24: 975.74 ps
INP-n25: 975.74 ps
INP-n26: 975.74 ps
INP-n27: 864.74 ps
INP-n31: 864.74 ps
INP-n34: 986.42 ps
INP-n37: 990.42 ps
INP-n40: 990.42 ps
INP-n43: 990.50 ps
INP-n46: 990.50 ps
INP-n49: 990.42 ps
INP-n52: 914.32 ps
INP-n53: 914.32 ps
INP-n54: 747.69 ps
INP-n61: 990.42 ps
INP-n64: 990.42 ps
INP-n67: 990.50 ps
INP-n70: 990.42 ps
INP-n73: 990.50 ps
INP-n76: 990.50 ps
INP-n79: 975.74 ps
INP-n80: 975.74 ps
INP-n81: 975.74 ps
INP-n82: 975.74 ps
INP-n83: 986.42 ps
INP-n86: 986.42 ps
INP-n87: 986.42 ps
INP-n88: 986.42 ps
INP-n91: 990.50 ps
INP-n94: 914.96 ps
INP-n97: 914.96 ps
INP-n100: 990.50 ps
INP-n103: 990.42 ps
INP-n106: 990.42 ps
INP-n109: 990.50 ps
INP-n112: 914.32 ps
INP-n113: 914.32 ps
INP-n114: 914.32 ps
INP-n115: 914.32 ps
INP-n116: 914.32 ps
INP-n117: 914.32 ps
INP-n118: 990.54 ps
INP-n119: 914.32 ps
INP-n120: 990.54 ps
INP-n121: 914.32 ps
INP-n122: 914.32 ps
INP-n123: 914.32 ps
INP-n126: 914.32 ps
INP-n127: 914.32 ps
INP-n128: 914.32 ps
INP-n129: 914.32 ps
INP-n130: 914.32 ps
INP-n131: 914.32 ps
INP-n132: 906.85 ps
INP-n135: 1005.00 ps
INP-n136: 1043.96 ps
INP-n137: 976.47 ps
INP-n140: 1061.46 ps
INP-n141: 994.27 ps
BUFF-n144: 1053.29 ps
INP-n145: 1043.96 ps
INP-n146: 975.53 ps
INP-n149: 975.61 ps
INP-n152: 975.53 ps
INP-n155: 975.61 ps
INP-n158: 975.53 ps
INP-n161: 975.53 ps
INP-n164: 975.53 ps
INP-n167: 975.53 ps
INP-n170: 975.53 ps
INP-n173: 975.53 ps
INP-n176: 964.18 ps
INP-n179: 964.10 ps
INP-n182: 975.61 ps
INP-n185: 975.53 ps
INP-n188: 975.61 ps
INP-n191: 975.61 ps
INP-n194: 975.61 ps
INP-n197: 975.61 ps
INP-n200: 975.61 ps
INP-n203: 975.61 ps
INP-n206: 477.93 ps
INP-n209: 477.93 ps
INP-n210: 272.23 ps
INP-n217: 272.23 ps
INP-n218: 236.69 ps
INP-n225: 236.69 ps
INP-n226: 262.90 ps
INP-n233: 262.89 ps
INP-n234: 405.89 ps
INP-n241: 405.88 ps
INP-n242: 542.86 ps
INP-n245: 1043.96 ps
INP-n248: 531.26 ps
INP-n251: 531.26 ps
INP-n254: 542.86 ps
INP-n257: 173.68 ps
INP-n264: 173.68 ps
INP-n265: 157.92 ps
INP-n272: 157.91 ps
INP-n273: 166.42 ps
INP-n280: 166.42 ps
INP-n281: 177.85 ps
INP-n288: 177.84 ps
INP-n289: 732.10 ps
INP-n292: 732.09 ps
INP-n293: 522.27 ps
BUFF-n298: 1053.29 ps
INP-n299: 522.27 ps
INP-n302: 320.17 ps
INP-n307: 320.16 ps
INP-n308: 236.69 ps
INP-n315: 236.69 ps
INP-n316: 262.90 ps
INP-n323: 262.89 ps
INP-n324: 405.89 ps
INP-n331: 405.88 ps
INP-n332: 104.68 ps
INP-n335: 98.64 ps
INP-n338: 173.68 ps
INP-n341: 164.05 ps
INP-n348: 164.05 ps
INP-n351: 172.58 ps
INP-n358: 172.58 ps
INP-n361: 226.40 ps
INP-n366: 226.40 ps
INP-n369: 747.18 ps
INP-n372: 747.18 ps
INP-n373: 1049.33 ps
INP-n374: 242.64 ps
INP-n386: 989.40 ps
INP-n389: 232.86 ps
INP-n400: 217.09 ps
INP-n411: 225.60 ps
INP-n422: 332.70 ps
INP-n435: 465.06 ps
INP-n446: 537.10 ps
INP-n457: 331.41 ps
INP-n468: 295.86 ps
INP-n479: 295.86 ps
INP-n490: 332.70 ps
INP-n503: 465.06 ps
INP-n514: 232.86 ps
INP-n523: 223.22 ps
INP-n534: 231.75 ps
INP-n545: 1063.24 ps
INP-n549: 1028.88 ps
INP-n552: 989.40 ps
INP-n556: 989.40 ps
INP-n559: 989.40 ps
INP-n562: 989.40 ps
NOT-n566: 635.25 ps
NOT-n567: 607.29 ps
NOT-n568: 604.28 ps
NOT-n569: 530.52 ps
NOT-n570: 530.52 ps
NOT-n571: 478.28 ps
NOT-n572: 478.28 ps
NOT-n573: 478.28 ps
NOT-n574: 478.28 ps
AND-n575: 478.28 ps
NOT-n576: 688.50 ps
NOT-n577: 632.68 ps
NOT-n578: 604.18 ps
NOT-n579: 530.43 ps
NOT-n580: 530.43 ps
NOT-n581: 478.19 ps
NOT-n582: 478.19 ps
NOT-n583: 478.19 ps
NOT-n584: 457.51 ps
AND-n585: 457.51 ps
AND-n588: 741.42 ps
OR-n589: 735.25 ps
AND-n590: 673.05 ps
OR-n591: 673.05 ps
NOT-n593: 1016.20 ps
NOT-n594: 1063.24 ps
AND-n595: 839.15 ps
AND-n596: 846.38 ps
NOT-n597: 920.08 ps
AND-n598: 839.15 ps
NOT-n599: 1063.24 ps
NOT-n600: 1063.24 ps
AND-n601: 1043.96 ps
NOT-n602: 1063.24 ps
NOT-n603: 1063.24 ps
NOT-n604: 1063.24 ps
NOT-n606: 1038.22 ps
AND-n607: 846.38 ps
AND-n608: 846.38 ps
NOT-n609: 878.42 ps
AND-n610: 846.38 ps
NOT-n611: 1063.24 ps
NOT-n612: 1063.24 ps
AND-n615: 764.38 ps
OR-n616: 735.25 ps
AND-n617: 701.85 ps
OR-n618: 701.85 ps
OR-n619: 735.25 ps
AND-n620: 701.95 ps
OR-n621: 701.95 ps
NOT-n623: 614.59 ps
AND-n626: 741.33 ps
OR-n627: 738.83 ps
AND-n628: 672.96 ps
OR-n629: 672.96 ps
AND-n632: 764.38 ps
NAND-n633: 1049.33 ps
NOT-n634: 1049.33 ps
AND-n635: 943.65 ps
NOT-n636: 943.65 ps
OR-n637: 864.74 ps
AND-n639: 864.74 ps
OR-n640: 537.57 ps
AND-n642: 537.57 ps
OR-n643: 484.90 ps
AND-n645: 484.90 ps
OR-n646: 484.90 ps
AND-n648: 484.90 ps
OR-n649: 484.90 ps
AND-n651: 484.90 ps
OR-n652: 467.92 ps
AND-n654: 467.92 ps
NAND-n656: 1018.41 ps
AND-n657: 98.64 ps
NOT-n658: 98.64 ps
OR-n659: 642.37 ps
AND-n661: 642.37 ps
OR-n662: 614.42 ps
AND-n664: 614.42 ps
OR-n665: 611.31 ps
AND-n667: 611.31 ps
OR-n668: 537.57 ps
AND-n670: 537.57 ps
OR-n671: 864.74 ps
AND-n673: 864.74 ps
OR-n674: 537.57 ps
AND-n676: 537.57 ps
OR-n677: 484.90 ps
AND-n679: 484.90 ps
OR-n680: 484.90 ps
AND-n682: 484.90 ps
OR-n683: 484.90 ps
AND-n685: 484.90 ps
OR-n686: 467.92 ps
AND-n688: 467.92 ps
AND-n689: 98.64 ps
NOT-n690: 98.64 ps
OR-n691: 642.37 ps
AND-n693: 642.37 ps
OR-n694: 614.42 ps
AND-n696: 614.42 ps
OR-n697: 611.31 ps
AND-n699: 611.31 ps
OR-n700: 537.57 ps
AND-n702: 537.57 ps
AND-n703: 943.65 ps
NOT-n704: 943.65 ps
OR-n705: 864.74 ps
AND-n707: 864.74 ps
AND-n708: 482.81 ps
AND-n709: 499.88 ps
AND-n710: 899.99 ps
AND-n711: 939.65 ps
OR-n712: 482.81 ps
OR-n713: 864.74 ps
AND-n715: 864.74 ps
AND-n716: 943.65 ps
NOT-n717: 943.65 ps
AND-n718: 710.51 ps
AND-n719: 657.26 ps
AND-n720: 899.99 ps
AND-n721: 939.65 ps
OR-n722: 657.26 ps
AND-n723: 482.81 ps
AND-n724: 499.88 ps
AND-n725: 899.99 ps
AND-n726: 939.65 ps
OR-n727: 482.81 ps
AND-n728: 499.79 ps
AND-n729: 499.88 ps
AND-n730: 899.99 ps
AND-n731: 939.65 ps
OR-n732: 499.79 ps
AND-n733: 499.79 ps
AND-n734: 499.88 ps
AND-n735: 899.99 ps
AND-n736: 939.65 ps
OR-n737: 499.79 ps
AND-n738: 499.79 ps
AND-n739: 499.88 ps
AND-n740: 899.99 ps
AND-n741: 939.65 ps
OR-n742: 499.79 ps
AND-n743: 552.46 ps
AND-n744: 552.55 ps
AND-n745: 899.99 ps
AND-n746: 939.65 ps
OR-n747: 552.46 ps
AND-n748: 552.46 ps
AND-n749: 552.55 ps
AND-n750: 899.99 ps
AND-n751: 939.65 ps
OR-n752: 552.46 ps
AND-n753: 626.20 ps
AND-n754: 626.29 ps
AND-n755: 899.99 ps
AND-n756: 939.65 ps
OR-n757: 626.20 ps
AND-n758: 654.69 ps
AND-n759: 629.31 ps
AND-n760: 899.99 ps
AND-n761: 939.65 ps
OR-n762: 629.31 ps
AND-n763: 131.00 ps
AND-n764: 124.96 ps
AND-n765: 899.99 ps
AND-n766: 939.65 ps
OR-n767: 124.96 ps
AND-n768: 499.79 ps
AND-n769: 499.88 ps
AND-n770: 899.99 ps
AND-n771: 939.65 ps
OR-n772: 499.79 ps
AND-n773: 499.79 ps
AND-n774: 499.88 ps
AND-n775: 899.99 ps
AND-n776: 939.65 ps
OR-n777: 499.79 ps
AND-n778: 499.79 ps
AND-n779: 499.88 ps
AND-n780: 899.99 ps
AND-n781: 939.65 ps
OR-n782: 499.79 ps
AND-n783: 552.46 ps
AND-n784: 552.55 ps
AND-n785: 899.99 ps
AND-n786: 939.65 ps
OR-n787: 552.46 ps
AND-n788: 552.46 ps
AND-n789: 552.55 ps
AND-n790: 899.99 ps
AND-n791: 939.65 ps
OR-n792: 552.46 ps
AND-n793: 626.20 ps
AND-n794: 626.29 ps
AND-n795: 899.99 ps
AND-n796: 939.65 ps
OR-n797: 626.20 ps
AND-n798: 654.69 ps
