Circuit delay: 3456.03 ps

Gate slacks:
INP-n1: 3659.49 ps
INP-n2: 3695.27 ps
INP-n3: 3719.40 ps
INP-n4: 345.60 ps
INP-n5: 3470.99 ps
INP-n6: 3310.97 ps
INP-n7: 3305.07 ps
INP-n8: 3194.76 ps
INP-n9: 3107.87 ps
INP-n10: 2978.88 ps
INP-n11: 2901.25 ps
INP-n12: 2790.38 ps
INP-n13: 2703.89 ps
INP-n14: 2592.85 ps
INP-n15: 2524.37 ps
INP-n16: 2384.05 ps
INP-n17: 2306.93 ps
INP-n18: 2213.55 ps
INP-n19: 2141.21 ps
INP-n20: 2042.39 ps
INP-n21: 1967.38 ps
INP-n22: 1856.16 ps
INP-n23: 1789.30 ps
INP-n24: 1647.25 ps
INP-n25: 1572.82 ps
INP-n26: 1433.51 ps
INP-n27: 1373.35 ps
INP-n28: 1231.01 ps
INP-n29: 1156.95 ps
INP-n30: 1023.00 ps
INP-n31: 958.06 ps
INP-n32: 840.53 ps
INP-n33: 750.42 ps
INP-n34: 631.47 ps
INP-n35: 439.67 ps
INP-n36: 439.41 ps
INP-n37: 3065.88 ps
NAND-n38: 1610.48 ps
NAND-n39: 1644.23 ps
NAND-n40: 1715.26 ps
NAND-n41: 1809.30 ps
NAND-n42: 1915.14 ps
NAND-n43: 1977.63 ps
NAND-n44: 2093.69 ps
NAND-n45: 2181.80 ps
NAND-n46: 2232.78 ps
NAND-n47: 2395.54 ps
NAND-n48: 2483.46 ps
NAND-n49: 2542.51 ps
NAND-n50: 2621.01 ps
NAND-n51: 2729.04 ps
NAND-n52: 2791.62 ps
NAND-n53: 2881.82 ps
NAND-n54: 2985.54 ps
NAND-n55: 3062.03 ps
AND-n56: 2206.73 ps
NAND-n57: 3202.38 ps
NAND-n58: 3292.43 ps
AND-n59: 3250.04 ps
INP-n60: 3545.33 ps
NAND-n61: 3108.80 ps
INP-n62: 3545.33 ps
NAND-n63: 3108.80 ps
INP-n64: 3545.33 ps
NAND-n65: 3108.80 ps
INP-n66: 3545.33 ps
NAND-n67: 3108.80 ps
INP-n68: 3545.33 ps
NAND-n69: 3108.80 ps
INP-n70: 3545.33 ps
NAND-n71: 3108.80 ps
INP-n72: 3545.33 ps
NAND-n73: 3108.80 ps
INP-n74: 3492.96 ps
NAND-n75: 3108.80 ps
INP-n76: 3672.74 ps
NAND-n77: 3108.80 ps
INP-n78: 3672.74 ps
